topleft
-146	8	243
-147	3	245
-149	-17	260
-150	-39	265
-150	-43	272
-146	-44	274
-131	-46	288
-126	-56	296
-125	-58	295
-123	-60	300
-120	-56	299
-167	24	171
-163	11	203
-145	9	245
-132	-2	264
-124	-2	273
-111	8	278
-103	10	283
-99	-2	291
-86	2	298
-71	-4	310
-63	-6	312
-58	-6	316
-60	1	312
-90	-10	303
-146	-9	256
-169	-7	215
-178	-2	172
-183	-2	137
-173	1	97
-159	6	65
-143	8	39
-121	-1	12
-109	-4	-1
-106	-10	-9
-109	-6	-1
-137	5	30
-151	14	60
-162	14	89
-170	17	127
-168	17	176
-151	20	217
-131	17	251
-109	17	272
-78	14	294
-50	17	302
-23	16	311
12	8	320
32	10	317
49	11	315
71	9	314
83	-1	316
79	-9	319
62	-4	321
34	-5	324
-53	-23	325
-111	-34	298
-139	-10	265
-135	-1	265
-133	5	262
-139	-11	264
-146	-19	261
-146	-25	262
-147	-29	259
-146	-35	262
-143	-37	261
-140	-36	265
-137	-30	262
-132	-18	264
-139	-16	257
-143	-7	245
-145	6	234
-156	5	220
-174	-10	200
-182	-21	194
-191	-28	190
-191	-31	189
-191	-29	190
-187	-21	188
-183	-17	192
-165	-2	218
-147	11	237
-131	15	252
-116	16	264
-116	7	274
-124	-5	270
-130	-10	270
-130	-13	268
-133	-19	271
-135	-22	268
-137	-24	268
-136	-20	268
-135	-13	263
-130	-6	265
-128	1	260
-124	6	264
-121	18	258
-121	27	246
-118	37	240
-110	56	224
-106	64	215
-111	67	202
-117	67	185
-126	63	184
-128	56	193
-135	45	210
-136	37	219
-137	32	231
-140	24	232
-145	22	229
-155	9	227
-159	-4	236
-161	-17	240
-167	-29	238
-162	-30	242
-155	-32	250
-148	-34	260
-142	-31	261
-138	-36	265
-138	-37	266
-135	-33	266
-125	-24	272
-119	-12	273
-106	6	271
-102	11	275
-102	12	271
-110	14	268
-115	18	260
-119	21	254
-127	18	250
