23	95	40
23	94	39
23	94	41
22	95	42
25	91	45
34	91	43
57	92	42
80	86	45
108	76	51
119	74	65
138	64	71
154	54	69
171	37	68
183	19	60
189	5	56
194	-13	47
204	-53	37
214	-79	44
215	-91	41
209	-89	41
207	-76	34
201	-35	43
201	-5	83
199	15	111
196	22	139
196	25	146
197	20	154
197	16	159
200	16	164
198	9	164
200	9	168
201	7	177
197	3	188
198	2	199
197	4	205
194	-2	209
196	-5	214
196	-6	223
194	-11	227
196	-11	235
195	-13	237
194	-10	236
194	-5	234
199	-11	239
201	-28	247
205	-38	255
207	-45	259
208	-45	254
207	-37	245
204	-16	216
202	0	180
203	-6	136
202	-14	106
208	-26	81
209	-38	71
207	-47	65
208	-52	51
205	-55	48
209	-60	47
208	-61	47
205	-61	47
205	-56	42
205	-56	41
204	-56	43
205	-57	41
202	-58	42
206	-59	39
205	-60	40
204	-61	41
206	-61	39
206	-61	40
202	-61	40
206	-61	40
201	-63	42
204	-61	42
205	-61	39
201	-62	41
203	-61	42
204	-59	42
201	-62	43
202	-61	42
204	-59	39
202	-51	41
210	-37	45
203	-14	56
178	17	65
157	37	55
150	56	47
144	65	51
133	81	53
118	98	54
101	108	63
83	122	62
67	125	70
54	129	77
48	134	75
51	132	74
50	128	79
47	131	78
40	133	78
33	130	84
17	133	88
-3	135	94
-23	131	103
-43	129	112
-53	125	119
-62	122	125
-54	127	111
-59	122	123
-65	123	122
-77	119	131
-79	115	139
-80	120	133
-77	118	134
-77	120	133
-71	123	127
-51	124	118
-30	133	113
20	132	99
56	129	87
80	123	83
105	107	75
126	95	63
138	78	60
144	64	58
156	56	50
159	44	51
164	34	54
170	27	51
177	20	46
179	5	45
183	0	43
183	-9	40
187	-13	35
184	-21	34
180	-23	33
182	-18	36
181	-24	39
183	-31	36
186	-33	35
188	-41	37
187	-49	34
188	-53	38
190	-50	32
188	-50	34
189	-46	34
187	-43	32
185	-44	35
185	-41	29
184	-43	34
184	-43	32
185	-41	30
184	-43	31
186	-41	28
186	-42	29
184	-44	31
184	-42	29
182	-44	33
186	-41	30
183	-42	34
185	-41	32
185	-40	31
183	-43	35
186	-40	31
182	-42	32
182	-41	33
184	-38	29
183	-39	32
182	-41	32
183	-38	30
183	-39	33
182	-37	30
180	-40	32
181	-35	32
183	-36	31
181	-36	31
184	-35	28
181	-35	30
183	-36	30
182	-34	27
178	-34	33
179	-30	29
177	-33	30
180	-26	27
176	-25	27
171	-22	28
166	-14	24
161	-7	25
157	-3	26
161	-3	26
169	-7	36
170	0	40
172	4	44
171	15	45
169	19	47
167	23	49
165	28	51
162	36	52
155	47	55
143	57	60
138	65	61
131	74	60
125	79	64
118	85	68
114	95	69
107	99	77
96	111	85
83	117	96
74	121	104
56	131	115
40	133	129
26	139	138
16	137	149
5	133	158
-8	136	167
-20	126	179
-32	124	188
-44	115	200
-52	116	205
-56	110	211
-60	106	215
-66	107	221
-65	104	220
-64	103	222
-66	105	222
-68	106	221
-65	102	222
-67	104	223
-67	102	224
-66	104	226
-68	105	225
-67	102	225
-67	104	225
-67	100	224
-67	101	224
-67	104	225
-66	102	224
-65	99	226
-67	107	223
-66	102	222
-65	103	221
-66	106	221
-65	105	219
-65	107	219
-64	104	219
-66	108	219
-67	108	218
-63	102	219
-66	111	218
-64	104	220
-65	107	219
-65	105	221
-66	107	220
-68	110	221
-64	105	219
-67	108	219
-65	104	220
-66	106	219
-65	105	218
-66	108	218
-68	105	219
-66	106	218
-65	108	218
-63	105	218
-66	104	219
-63	103	218
-66	106	218
-64	101	218
-66	105	219
-65	104	218
-68	107	218
-64	105	220
-67	107	219
-65	105	218
-67	110	218
-65	105	218
-67	107	219
-65	104	219
-67	107	218
-66	104	218
-65	107	218
-65	106	218
-67	108	217
-67	106	218
-65	106	218
-66	105	217
-66	107	217
-68	108	217
-64	102	217
-66	106	216
-65	108	217
-65	107	215
-63	107	216
-65	109	215
-64	110	214
-64	110	213
-60	108	211
-64	113	212
-62	110	213
-63	110	209
-62	109	212
-66	112	212
-66	112	212
-63	109	213
-65	114	213
-62	108	212
-64	112	213
-64	107	212
-64	110	213
-63	107	213
-63	110	213
-64	109	212
-60	112	211
-60	115	207
-51	113	205
-43	123	196
-34	124	189
-25	133	181
-9	133	169
3	136	158
17	132	148
29	135	131
42	134	116
59	128	105
66	129	95
78	119	90
84	114	84
92	112	74
100	96	72
108	90	62
116	85	58
121	75	54
125	68	54
126	64	52
132	63	47
137	48	45
142	39	39
145	28	30
148	17	20
149	2	17
152	-5	15
157	-15	15
158	-15	11
160	-17	14
161	-23	18
163	-23	14
162	-25	15
163	-23	10
163	-26	15
163	-27	15
167	-27	12
172	-36	17
181	-48	25
189	-55	24
188	-66	29
191	-66	25
189	-64	28
190	-62	25
188	-64	26
187	-62	26
189	-60	22
185	-59	27
189	-58	24
185	-60	26
187	-60	27
189	-59	23
187	-61	28
187	-63	26
191	-60	25
188	-61	25
184	-58	18
185	-62	18
187	-59	22
185	-38	19
179	-21	26
186	-12	35
198	-24	43
205	-28	48
222	-53	51
219	-62	56
215	-49	42
202	-43	29
191	-35	22
150	-3	-3
110	18	-16
91	43	-1
106	39	-2
143	38	25
176	19	49
200	-9	54
219	-47	44
227	-78	53
215	-85	23
167	-56	-15
128	-23	-28
135	-20	-27
141	-25	-28
135	-26	-23
137	-25	-26
143	-13	-17
146	-8	-16
147	-9	-20
142	-34	-28
141	-63	-41
157	-82	-36
138	-115	-50
123	-119	-53
